player1,point_no,win_or_not,p1_sets_leading,p1_games_leading_1,p1_score_leading_1,1_server,p1_ace,p1_winner,p1_double_fault,p1_unf_err,p1_break_pt,p1_break_pt_won,p1_break_pt_missed
Carlos Alcaraz,40,1,0,-1,0,1,0,1,0,0,0,0,0
Carlos Alcaraz,41,1,0,-1,0.333333333,1,0,1,0,0,0,0,0
Carlos Alcaraz,42,0,0,-0.8,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,43,0,0,-0.8,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,44,0,0,-0.8,-0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,45,0,0,-0.8,-1,0,0,0,0,0,0,0,0
Carlos Alcaraz,46,1,-1,0,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,47,0,-1,0,0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,48,1,-1,0,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,49,1,-1,0,0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,50,1,-1,0,0.666666667,1,0,0,0,0,0,0,0
Carlos Alcaraz,51,1,-1,0.2,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,52,1,-1,0.2,0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,53,0,-1,0.2,0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,54,0,-1,0.2,0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,55,0,-1,0.2,0,0,0,0,0,1,0,0,0
Carlos Alcaraz,56,1,-1,0.2,-0.333333333,0,0,1,0,0,0,0,0
Carlos Alcaraz,57,1,-1,0.2,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,58,0,-1,0.2,0.666666667,0,0,0,0,0,1,0,1
Carlos Alcaraz,59,1,-1,0.2,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,60,1,-1,0.2,0.666666667,0,0,0,0,0,1,1,0
Carlos Alcaraz,61,0,-1,0.4,0,1,0,0,1,1,0,0,0
Carlos Alcaraz,62,1,-1,0.4,-0.333333333,1,0,1,0,0,0,0,0
Carlos Alcaraz,63,1,-1,0.4,0,1,0,1,0,0,0,0,0
Carlos Alcaraz,64,0,-1,0.4,0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,65,1,-1,0.4,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,66,0,-1,0.4,0.333333333,1,0,0,0,1,0,0,0
Carlos Alcaraz,67,0,-1,0.4,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,68,0,-1,0.4,-0.666666667,1,0,0,0,1,0,0,0
Carlos Alcaraz,69,1,-1,0.2,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,70,1,-1,0.2,0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,71,0,-1,0.2,0.666666667,0,0,0,0,1,0,0,0
Carlos Alcaraz,72,0,-1,0.2,0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,73,1,-1,0.2,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,74,0,-1,0.2,0.333333333,0,0,0,0,1,1,0,1
Carlos Alcaraz,75,0,-1,0.2,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,76,0,-1,0.2,-0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,77,0,-1,0,0,1,0,0,0,1,0,0,0
Carlos Alcaraz,78,1,-1,0,-0.333333333,1,0,1,0,0,0,0,0
Carlos Alcaraz,79,1,-1,0,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,80,1,-1,0,0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,81,0,-1,0,0.666666667,1,0,0,0,0,0,0,0
Carlos Alcaraz,82,0,-1,0,0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,83,1,-1,0,0,1,0,1,0,0,0,0,0
Carlos Alcaraz,84,0,-1,0,0.666666667,1,0,0,0,0,0,0,0
Carlos Alcaraz,85,1,-1,0,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,86,1,-1,0,0.666666667,1,0,0,0,0,0,0,0
Carlos Alcaraz,87,1,-1,0.2,0,0,0,1,0,0,0,0,0
Carlos Alcaraz,88,1,-1,0.2,0.333333333,0,0,1,0,0,0,0,0
Carlos Alcaraz,89,0,-1,0.2,0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,90,0,-1,0.2,0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,91,0,-1,0.2,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,92,0,-1,0.2,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,93,1,-1,0,0,1,0,1,0,0,0,0,0
Carlos Alcaraz,94,1,-1,0,0.333333333,1,0,1,0,0,0,0,0
Carlos Alcaraz,95,1,-1,0,0.666666667,1,0,1,0,0,0,0,0
Carlos Alcaraz,96,1,-1,0,1,1,1,1,0,0,0,0,0
Carlos Alcaraz,97,0,-1,0.2,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,98,1,-1,0.2,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,99,0,-1,0.2,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,100,0,-1,0.2,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,101,0,-1,0.2,-0.666666667,0,0,0,0,1,0,0,0
Carlos Alcaraz,102,0,-1,0,0,1,0,0,0,1,0,0,0
Carlos Alcaraz,103,1,-1,0,-0.333333333,1,0,1,0,0,0,0,0
Carlos Alcaraz,104,1,-1,0,0,1,1,1,0,0,0,0,0
Carlos Alcaraz,105,1,-1,0,0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,106,1,-1,0,0.666666667,1,0,0,0,0,0,0,0
Carlos Alcaraz,107,1,-1,0.2,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,108,0,-1,0.2,0.333333333,0,0,0,0,1,0,0,0
Carlos Alcaraz,109,0,-1,0.2,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,110,1,-1,0.2,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,111,0,-1,0.2,0,0,0,0,0,1,0,0,0
Carlos Alcaraz,112,1,-1,0.2,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,113,0,-1,0.2,0,0,0,0,0,1,0,0,0
Carlos Alcaraz,114,0,-1,0.2,-0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,115,0,-1,0,0,1,0,0,0,1,0,0,0
Carlos Alcaraz,116,1,-1,0,-0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,117,1,-1,0,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,118,1,-1,0,0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,119,1,-1,0,0.666666667,1,0,0,0,0,0,0,0
Carlos Alcaraz,120,0,-1,0.2,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,121,1,-1,0.2,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,122,0,-1,0.2,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,123,1,-1,0.2,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,124,0,-1,0.2,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,125,0,-1,0.2,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,126,0,-1,0,0,1,0,0,0,1,0,0,0
Carlos Alcaraz,127,0,-1,0,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,128,0,-1,0,-0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,129,1,-1,0,-1,1,0,0,0,0,0,0,0
Carlos Alcaraz,130,1,-1,0,-0.666666667,1,1,1,0,0,0,0,0
Carlos Alcaraz,131,1,-1,0,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,132,0,-1,0,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,133,1,-1,0,-0.333333333,1,0,1,0,0,0,0,0
Carlos Alcaraz,134,1,-1,0,0,1,0,1,0,0,0,0,0
Carlos Alcaraz,135,0,-1,0,0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,136,0,-1,0,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,137,1,-1,0,-0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,138,1,-1,0,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,139,1,-1,0,0.333333333,0,0,1,0,0,0,0,0
Carlos Alcaraz,140,1,0,0,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,141,0,0,0,0.333333333,0,0,0,0,1,0,0,0
Carlos Alcaraz,142,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,143,1,0,0,-0.333333333,0,0,1,0,0,0,0,0
Carlos Alcaraz,144,1,0,0,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,145,0,0,0,0.333333333,0,0,0,0,1,1,0,1
Carlos Alcaraz,146,1,0,0,0,0,0,1,0,0,0,0,0
Carlos Alcaraz,147,1,0,0,0.666666667,0,0,0,0,0,1,1,0
Carlos Alcaraz,148,0,0,0.2,0,1,0,0,0,1,0,0,0
Carlos Alcaraz,149,1,0,0.2,-0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,150,1,0,0.2,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,151,1,0,0.2,0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,152,0,0,0.2,0.666666667,1,0,0,0,1,0,0,0
Carlos Alcaraz,153,1,0,0.2,0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,154,0,0,0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,155,1,0,0.4,-0.333333333,0,0,1,0,0,0,0,0
Carlos Alcaraz,156,1,0,0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,157,0,0,0.4,0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,158,0,0,0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,159,0,0,0.4,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,160,1,0,0.2,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,161,0,0,0.2,0.333333333,1,0,0,0,1,0,0,0
Carlos Alcaraz,162,0,0,0.2,0,1,0,0,0,1,0,0,0
Carlos Alcaraz,163,0,0,0.2,-0.333333333,1,0,0,0,1,0,0,0
Carlos Alcaraz,164,1,0,0.2,-0.666666667,1,0,0,0,0,0,0,0
Carlos Alcaraz,165,1,0,0.2,-0.333333333,1,0,1,0,0,0,0,0
Carlos Alcaraz,166,1,0,0.2,0,1,0,1,0,0,0,0,0
Carlos Alcaraz,167,1,0,0.2,0.666666667,1,0,0,0,0,0,0,0
Carlos Alcaraz,168,1,0,0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,169,0,0,0.4,0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,170,0,0,0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,171,0,0,0.4,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,172,1,0,0.4,-0.666666667,0,0,1,0,0,0,0,0
Carlos Alcaraz,173,1,0,0.4,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,174,0,0,0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,175,1,0,0.4,-0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,176,0,0,0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,177,1,0,0.4,-0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,178,1,0,0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,179,0,0,0.4,0.666666667,0,0,0,0,0,1,0,1
Carlos Alcaraz,180,0,0,0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,181,1,0,0.4,-0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,182,1,0,0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,183,0,0,0.4,0.666666667,0,0,0,0,0,1,0,1
Carlos Alcaraz,184,0,0,0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,185,1,0,0.4,-0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,186,1,0,0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,187,0,0,0.4,0.666666667,0,0,0,0,0,1,0,1
Carlos Alcaraz,188,0,0,0.4,0,0,0,0,0,1,0,0,0
Carlos Alcaraz,189,1,0,0.4,-0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,190,1,0,0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,191,0,0,0.4,0.666666667,0,0,0,0,0,1,0,1
Carlos Alcaraz,192,1,0,0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,193,0,0,0.4,0.666666667,0,0,0,0,0,1,0,1
Carlos Alcaraz,194,1,0,0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,195,0,0,0.4,0.666666667,0,0,0,0,0,1,0,1
Carlos Alcaraz,196,0,0,0.4,0,0,0,0,0,1,0,0,0
Carlos Alcaraz,197,1,0,0.4,-0.666666667,0,0,1,0,0,0,0,0
Carlos Alcaraz,198,1,0,0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,199,1,0,0.4,0.666666667,0,0,0,0,0,1,1,0
Carlos Alcaraz,200,1,0,0.6,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,201,1,0,0.6,0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,202,1,0,0.6,0.666666667,1,0,0,0,0,0,0,0
Carlos Alcaraz,203,0,0,0.6,1,1,0,0,0,0,0,0,0
Carlos Alcaraz,204,1,0,0.6,0.666666667,1,0,0,0,0,0,0,0
Carlos Alcaraz,205,1,0,0.8,0,0,0,1,0,0,0,0,0
Carlos Alcaraz,206,1,0,0.8,0.333333333,0,0,1,0,0,0,0,0
Carlos Alcaraz,207,1,0,0.8,0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,208,0,0,0.8,1,0,0,0,0,0,1,0,1
Carlos Alcaraz,209,1,0,0.8,0.666666667,0,0,1,0,0,1,1,0
Carlos Alcaraz,210,0,1,0,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,211,0,1,0,-0.333333333,1,0,0,1,1,0,0,0
Carlos Alcaraz,212,1,1,0,-0.666666667,1,0,0,0,0,0,0,0
Carlos Alcaraz,213,1,1,0,-0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,214,1,1,0,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,215,1,1,0,0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,216,1,1,0.2,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,217,1,1,0.2,0.333333333,0,0,1,0,0,0,0,0
Carlos Alcaraz,218,0,1,0.2,0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,219,1,1,0.2,0.333333333,0,0,1,0,0,0,0,0
Carlos Alcaraz,220,0,1,0.2,0.666666667,0,0,0,0,0,1,0,1
Carlos Alcaraz,221,0,1,0.2,0.333333333,0,0,0,0,0,1,0,1
Carlos Alcaraz,222,0,1,0.2,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,223,0,1,0.2,-0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,224,1,1,0,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,225,0,1,0,0.333333333,1,0,0,1,1,0,0,0
Carlos Alcaraz,226,1,1,0,0,1,0,1,0,0,0,0,0
Carlos Alcaraz,227,1,1,0,0.333333333,1,1,1,0,0,0,0,0
Carlos Alcaraz,228,0,1,0,0.666666667,1,0,0,0,0,0,0,0
Carlos Alcaraz,229,0,1,0,0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,230,1,1,0,0,1,0,1,0,0,0,0,0
Carlos Alcaraz,231,0,1,0,0.666666667,1,0,0,1,1,0,0,0
Carlos Alcaraz,232,1,1,0,0,1,1,1,0,0,0,0,0
Carlos Alcaraz,233,0,1,0,0.666666667,1,0,0,0,0,0,0,0
Carlos Alcaraz,234,1,1,0,0,1,0,1,0,0,0,0,0
Carlos Alcaraz,235,1,1,0,0.666666667,1,0,0,0,0,0,0,0
Carlos Alcaraz,236,0,1,0.2,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,237,0,1,0.2,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,238,1,1,0.2,-0.666666667,0,0,1,0,0,0,0,0
Carlos Alcaraz,239,1,1,0.2,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,240,0,1,0.2,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,241,1,1,0.2,-0.333333333,0,0,1,0,0,0,0,0
Carlos Alcaraz,242,0,1,0.2,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,243,0,1,0.2,-0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,244,1,1,0,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,245,0,1,0,0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,246,1,1,0,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,247,0,1,0,0.333333333,1,0,0,0,1,0,0,0
Carlos Alcaraz,248,0,1,0,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,249,1,1,0,-0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,250,0,1,0,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,251,1,1,0,-0.666666667,1,0,1,0,0,0,0,0
Carlos Alcaraz,252,0,1,0,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,253,0,1,0,-0.666666667,1,0,0,0,1,0,0,0
Carlos Alcaraz,254,0,1,-0.2,0,0,0,0,0,1,0,0,0
Carlos Alcaraz,255,1,1,-0.2,-0.333333333,0,0,1,0,0,0,0,0
Carlos Alcaraz,256,0,1,-0.2,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,257,0,1,-0.2,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,258,1,1,-0.2,-0.666666667,0,0,1,0,0,0,0,0
Carlos Alcaraz,259,0,1,-0.2,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,260,1,1,-0.4,0,1,0,1,0,0,0,0,0
Carlos Alcaraz,261,0,1,-0.4,0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,262,1,1,-0.4,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,263,1,1,-0.4,0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,264,1,1,-0.4,0.666666667,1,1,1,0,0,0,0,0
Carlos Alcaraz,265,0,1,-0.2,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,266,0,1,-0.2,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,267,0,1,-0.2,-0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,268,0,1,-0.2,-1,0,0,0,0,0,0,0,0
Carlos Alcaraz,269,0,1,-0.4,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,270,0,1,-0.4,-0.333333333,1,0,0,1,1,0,0,0
Carlos Alcaraz,271,0,1,-0.4,-0.666666667,1,0,0,0,0,0,0,0
Carlos Alcaraz,272,1,1,-0.4,-1,1,0,0,0,0,0,0,0
Carlos Alcaraz,273,0,1,-0.4,-0.666666667,1,0,0,1,1,0,0,0
Carlos Alcaraz,274,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,275,0,0,0,-0.333333333,0,0,0,0,1,0,0,0
Carlos Alcaraz,276,1,0,0,-0.666666667,0,0,1,0,0,0,0,0
Carlos Alcaraz,277,1,0,0,-0.333333333,0,0,1,0,0,0,0,0
Carlos Alcaraz,278,1,0,0,0,0,0,1,0,0,0,0,0
Carlos Alcaraz,279,0,0,0,0.333333333,0,0,0,0,0,1,0,1
Carlos Alcaraz,280,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,281,1,0,0,-0.666666667,0,0,1,0,0,0,0,0
Carlos Alcaraz,282,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,283,0,0,0,-0.666666667,0,0,0,0,1,0,0,0
Carlos Alcaraz,284,0,0,-0.2,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,285,1,0,-0.2,-0.333333333,1,0,1,0,0,0,0,0
Carlos Alcaraz,286,0,0,-0.2,0,1,0,0,0,1,0,0,0
Carlos Alcaraz,287,1,0,-0.2,-0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,288,0,0,-0.2,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,289,1,0,-0.2,-0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,290,1,0,-0.2,0,1,0,1,0,0,0,0,0
Carlos Alcaraz,291,1,0,-0.2,0.666666667,1,0,1,0,0,0,0,0
Carlos Alcaraz,292,1,0,0,0,0,0,1,0,0,0,0,0
Carlos Alcaraz,293,0,0,0,0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,294,1,0,0,0,0,0,1,0,0,0,0,0
Carlos Alcaraz,295,0,0,0,0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,296,1,0,0,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,297,1,0,0,0.333333333,0,0,1,0,0,1,1,0
Carlos Alcaraz,298,1,0,0.2,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,299,1,0,0.2,0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,300,1,0,0.2,0.666666667,1,0,0,0,0,0,0,0
Carlos Alcaraz,301,1,0,0.2,1,1,1,1,0,0,0,0,0
Carlos Alcaraz,302,0,0,0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,303,0,0,0.4,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,304,0,0,0.4,-0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,305,1,0,0.4,-1,0,0,0,0,0,0,0,0
Carlos Alcaraz,306,0,0,0.4,-0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,307,0,0,0.2,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,308,1,0,0.2,-0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,309,0,0,0.2,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,310,1,0,0.2,-0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,311,1,0,0.2,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,312,1,0,0.2,0.333333333,1,1,1,0,0,0,0,0
Carlos Alcaraz,313,0,0,0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,314,1,0,0.4,-0.333333333,0,0,1,0,0,0,0,0
Carlos Alcaraz,315,0,0,0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,316,1,0,0.4,-0.333333333,0,0,1,0,0,0,0,0
Carlos Alcaraz,317,0,0,0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,318,0,0,0.4,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,319,0,0,0.2,0,1,0,0,0,1,0,0,0
Carlos Alcaraz,320,1,0,0.2,-0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,321,1,0,0.2,0,1,0,0,0,0,0,0,0
Carlos Alcaraz,322,1,0,0.2,0.333333333,1,0,1,0,0,0,0,0
Carlos Alcaraz,323,1,0,0.2,0.666666667,1,1,1,0,0,0,0,0
Carlos Alcaraz,324,0,0,0.4,0,0,0,0,0,0,0,0,0
Carlos Alcaraz,325,0,0,0.4,-0.333333333,0,0,0,0,0,0,0,0
Carlos Alcaraz,326,0,0,0.4,-0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,327,1,0,0.4,-1,0,0,0,0,0,0,0,0
Carlos Alcaraz,328,0,0,0.4,-0.666666667,0,0,0,0,0,0,0,0
Carlos Alcaraz,329,0,0,0.2,0,1,0,0,0,1,0,0,0
Carlos Alcaraz,330,1,0,0.2,-0.333333333,1,0,1,0,0,0,0,0
Carlos Alcaraz,331,1,0,0.2,0,1,0,1,0,0,0,0,0
Carlos Alcaraz,332,0,0,0.2,0.333333333,1,0,0,0,0,0,0,0
Carlos Alcaraz,333,1,0,0.2,0,1,0,0,0,0,0,0,0
